Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
Long John Silver's,78723,10/13/2021,95,"5600 CAMERON RD
AUSTIN, TX 78723
(30.31391, -97.70445)",10007072,Routine Inspection
McDonalds  (Wal-Mart),78753,04/14/2020,92,"13000 N IH
AUSTIN, TX 78753",2802240,Routine Inspection
Hong Kong Supermarket - Kitchen,78758,01/13/2022,89,"8557 RESEARCH BLVD
AUSTIN, TX 78758
(30.36081, -97.71573)",11947499,Routine Inspection
"Dogwood, The",78701,06/03/2021,88,"715 W 6TH ST
AUSTIN, TX 78701
(30.27013, -97.75021)",10440680,Routine Inspection
Sonic Drive-In #1566,78744,01/03/2023,95,"5105 E STASSNEY LN
AUSTIN, TX 78744
(30.19342, -97.73949)",12393991,Routine Inspection
"Parmer Woods at North Austin, Assisted Living & Memory Care",78758,12/17/2021,84,"12429 SCOFIELD FARMS DR
AUSTIN, TX 78758
(30.40994, -97.6863)",12074274,Routine Inspection
Walgreens #05160,78752,11/12/2020,98,"6812 N LAMAR BLVD
AUSTIN, TX 78752
(30.33615, -97.7207)",2803733,Routine Inspection
Wag A Bag,78660,11/12/2020,93,"1701 GRAND AVENUE PKWY
AUSTIN, TX 78660
(30.45546, -97.6606)",2803807,Routine Inspection
"I.E, INC.",78741,10/27/2021,91,"2101 E BEN WHITE BLVD
AUSTIN, TX 78741
(30.21558, -97.74336)",2803281,Routine Inspection
Fairmont Austin - Rules & Regs Pool & Bar (Level 7),78701,02/08/2022,88,"101 RED RIVER ST
AUSTIN, TX 78701
(30.26193, -97.73885)",11853711,Routine Inspection
Asahi Imports,78757,06/03/2020,98,"6105 BURNET RD
AUSTIN, TX 78757
(30.33646, -97.73955)",2803990,Routine Inspection
Ichiban at Austin,78757,06/02/2021,83,"7310 BURNET RD
AUSTIN, TX 78757
(30.34915, -97.73594)",10215188,Routine Inspection
LW - Lupine Lane,78738,06/08/2021,100,"1001 HIGHLANDS BLVD
AUSTIN, TX 78738
(30.34958, -98.01171)",11111617,Routine Inspection
Chi'Lantro Mueller,78723,07/09/2020,84,"1201 BARBARA JORDAN BLVD
AUSTIN, TX 78723
(30.3068, -97.70948)",12019345,Routine Inspection
Tutty Frutty,78745,12/04/2020,90,"500 W WILLIAM CANNON DR
AUSTIN, TX 78745
(30.19624, -97.78578)",11315789,Routine Inspection
Capital One Cafe,78701,11/12/2020,99,"106 E 6TH ST
AUSTIN, TX 78701
(30.26794, -97.74236)",11845695,Routine Inspection
Smokey Mo's BBQ,78727,07/31/2020,91,"6001 W PARMER LN
AUSTIN, TX 78727
(30.44196, -97.74148)",10776533,Routine Inspection
Little Woodrow's,78701,06/14/2022,93,"520 W 6TH ST
AUSTIN, TX 78701
(30.26955, -97.74818)",11572730,Routine Inspection
HEB Plus #12 - Deli/Bakery/Produce,78741,12/28/2020,97,"2508 E RIVERSIDE DR
AUSTIN, TX 78741
(30.23579, -97.72258)",10402647,Routine Inspection
"Village at the Triangle, The",78751,06/30/2022,70,"4517 TRIANGLE AVE
AUSTIN, TX 78751
(30.31317, -97.73479)",12186178,Routine Inspection
Gourdough's Public House,78704,12/09/2022,100,"2700 S LAMAR BLVD
AUSTIN, TX 78704
(30.2453, -97.78053)",10842726,Routine Inspection
Roppolo's Pizzeria II,78701,01/03/2023,86,"414 E 6TH ST
AUSTIN, TX 78701
(30.26691, -97.73871)",2803157,Routine Inspection
Hay Elotes,78702,05/08/2020,85,"2214 E 7TH ST
AUSTIN, TX 78702
(30.26132, -97.71665)",11012367,Routine Inspection
Dairy Queen,78750,06/07/2022,87,"12129 N FM 620 RD
AUSTIN, TX 78750
(30.46169, -97.81753)",2800713,Routine Inspection
Dailey Middle School,78725,09/10/2020,98,"14000 WESTALL ST
AUSTIN, TX 78725
(30.24163, -97.58848)",10475714,Routine Inspection
Circle K #2742420,78745,05/15/2020,85,"1405 W WILLIAM CANNON DR
AUSTIN, TX 78745
(30.20044, -97.79919)",2803580,Routine Inspection
Heaven's Bakery & Bistro,78727,07/22/2020,95,"2205 W PARMER LN
AUSTIN, TX 78727
(30.4172, -97.69885)",12185580,Routine Inspection
JD's Supermarket #7 - Kitchen/Bakery,78724,08/31/2021,78,"6506 DECKER LN
AUSTIN, TX 78724
(30.28985, -97.62918)",12394193,Routine Inspection
Chipotle Mexican Grill #847,78759,07/09/2020,93,"10515 N MOPAC EXPY
AUSTIN, TX 78759
(30.39198, -97.73307)",10176932,Routine Inspection
AFC Sushi@St. Edwards University,78704,01/28/2022,90,"3001 S CONGRESS AVE
AUSTIN, TX 78704
(30.23233, -97.75858)",10497447,Routine Inspection
Cooper's Sandwiches,78735,04/20/2020,100,"4601 SOUTHWEST PKWY
AUSTIN, TX 78735
(30.239904, -97.831659)",12185936,Routine Inspection
"Spec's Wine, Liquor, And Fine Foods",78729,10/27/2021,94,"12611 HYMEADOW DR
AUSTIN, TX 78729
(30.4582, -97.79157)",12128393,Routine Inspection
Mr. Gattis Pizza #201,78741,03/10/2022,81,"2410 E RIVERSIDE DR
AUSTIN, TX 78741
(30.23686, -97.72524)",12393517,Routine Inspection
Dessau Mini Mart,78754,08/31/2020,100,"12915 DESSAU RD
AUSTIN, TX 78754
(30.39731, -97.64171)",10557944,Routine Inspection
Ho Ho Chinese BBQ,78753,07/07/2021,79,"13000 N IH
AUSTIN, TX 78753",10293083,Routine Inspection
Estancia Churrascaria,78759,01/25/2022,78,"10000 RESEARCH BLVD
AUSTIN, TX 78759
(30.39284, -97.74693)",10662646,Routine Inspection
Circle K Store #2704683,78736,07/12/2022,97,"9920 W US 290 HWY
AUSTIN, TX 78736
(30.22812, -97.94171)",10758425,Routine Inspection
Plucker's Wing Factory,78705,03/25/2020,91,"2222 RIO GRANDE ST
AUSTIN, TX 78705
(30.28683, -97.74476)",2800781,Routine Inspection
PF - Lone Star Kolaches,78660,06/08/2021,84,"2606 W PECAN ST
PFLUGERVILLE, TX 78660
(30.44923, -97.65458)",12392527,Routine Inspection
Cilantro's Mexican Restaurant,78745,02/05/2021,97,"1025 W STASSNEY LN
AUSTIN, TX 78745
(30.21029, -97.78713)",10019057,Routine Inspection
Another Broken Egg Cafe,78731,08/08/2022,85,"8012 MESA DR
AUSTIN, TX 78731
(30.37034, -97.75869)",12393760,Routine Inspection
Larry's Giant Subs,78735,11/06/2020,95,"5030 W US 290 HWY
AUSTIN, TX 78735
(30.23635, -97.82166)",10671468,Routine Inspection
Vasquez Tacos,78753,04/22/2020,97,"915 E BRAKER LN
AUSTIN, TX 78753
(30.37554, -97.67272)",2801286,Routine Inspection
Taco Cabana #128,78727,03/24/2022,89,"12525 N MOPAC EXPY
AUSTIN, TX 78727
(30.42083, -97.7033)",2800946,Routine Inspection
Thundercloud Subs,78757,07/26/2022,94,"7930 BURNET RD
AUSTIN, TX 78757
(30.35719, -97.73055)",2800611,Routine Inspection
Hula Hut,78703,10/13/2022,70,"3825 LAKE AUSTIN BLVD
AUSTIN, TX 78703
(30.29493, -97.78373)",2800563,Routine Inspection
Bender Bar and Grill,78745,02/24/2021,87,"321 W BEN WHITE BLVD
AUSTIN, TX 78745
(30.22414, -97.76726)",10080957,Routine Inspection
BC - Mandolas Italian Market,78738,02/09/2023,84,"12815 SHOPS PKWY
BEE CAVE, TX 78738
(30.30548, -97.94231)",10338098,Routine Inspection
Home 2 Suites,78613,02/09/2022,100,"14022 N US 183 HWY
AUSTIN, TX 78613
(30.47572, -97.80062)",12089646,Routine Inspection
"8464 Holdings, LLC",78701,01/04/2023,91,"96 RAINEY ST
AUSTIN, TX 78701
(30.26077, -97.73803)",11775810,Routine Inspection
LW - Papa John's 3688,78738,01/18/2023,95,"2422 S FM 620 RD
LAKEWAY, TX 78738",12396297,Routine Inspection
Meso Poke,78727,07/23/2020,96,"1700 W PARMER LN
AUSTIN, TX 78727
(30.41289, -97.68886)",12144303,Routine Inspection
Riojas Elementary,78660,10/28/2022,96,"3400 CRISPIN HALL LN
PFLUGERVILLE, TX 78660
(30.46631, -97.56772)",10470974,Routine Inspection
Little Country Diner,78669,01/13/2022,99,"22000 W SH
SPICEWOOD, TX 78669",2802629,Routine Inspection
Taqueria Morelos,78744,05/24/2021,81,"3100 S US 183 HWY
AUSTIN, TX 78744
(30.20488, -97.68346)",2802982,Routine Inspection
ABIA - Second Bar & Kitchen,78719,04/04/2022,82,"3600 PRESIDENTIAL BLVD
AUSTIN, TX 78719
(30.20263, -97.66714)",11763654,Routine Inspection
OOB - 7-Eleven Convenience Store #36999J,78701,04/09/2020,95,"823 CONGRESS AVE
AUSTIN, TX 78701
(30.27042, -97.74193)",12392854,Routine Inspection
BC - Chisos Grill,78738,02/08/2021,92,"12700 HILL COUNTRY BLVD
BEE CAVE, TX 78738
(30.307712, -97.934779)",11482803,Routine Inspection
"Little Darlin', The",78745,08/05/2022,86,"6507 CIRCLE S RD
AUSTIN, TX 78745
(30.19453, -97.77715)",11508340,Routine Inspection
Spartan Pizza 2,78729,10/21/2022,99,"7318 MC NEIL DR
AUSTIN, TX 78729
(30.43537, -97.76748)",12394984,Routine Inspection
Taco Cabana #199,78748,04/06/2020,90,"9705 MANCHACA RD
AUSTIN, TX 78748
(30.1753, -97.82304)",2801240,Routine Inspection
Uroko,78721,07/09/2021,90,"1023 SPRINGDALE RD
AUSTIN, TX 78721
(30.26793, -97.69405)",12168955,Routine Inspection
Wingstop Restaurant,78745,05/18/2020,96,"500 W WILLIAM CANNON DR
AUSTIN, TX 78745
(30.19624, -97.78578)",2801921,Routine Inspection
CoCo's Cafe,78705,03/16/2022,89,"1910 GUADALUPE ST
AUSTIN, TX 78705
(30.28261, -97.74204)",2801586,Routine Inspection
Coyote Ugly Saloon,78701,04/04/2021,87,"501 E 6TH ST
AUSTIN, TX 78701
(30.26674, -97.73809)",2802139,Routine Inspection
Barley Swine,78757,05/05/2022,89,"6555 BURNET RD
AUSTIN, TX 78757
(30.34132, -97.73801)",11462795,Routine Inspection
Down South CaJJun Eats,78660,01/19/2022,91,"15630 VISION DR
AUSTIN, TX 78660
(30.45013, -97.66234)",12393246,Routine Inspection
Randall's #2475- Food,78731,06/25/2020,94,"5311 BALCONES DR
AUSTIN, TX 78731
(30.33568, -97.75784)",2800073,Routine Inspection
Randall's #2475-Retail,78731,08/24/2022,98,"5401 BALCONES DR
AUSTIN, TX 78731
(30.33569, -97.75836)",2803531,Routine Inspection
LW - Double Dave's,78738,01/05/2023,97,"3100 S FM 620 RD
LAKEWAY, TX 78738",12185722,Routine Inspection
"Aspire Montessori School, LLC",78745,06/08/2020,99,"7202 DEE ST
AUSTIN, TX 78745
(30.1939, -97.79525)",11764893,Routine Inspection
Bouldin Acres,78704,06/09/2022,91,"2027 S LAMAR BLVD
AUSTIN, TX 78704
(30.24894, -97.7684)",12186640,Routine Inspection
MOD Super Fast Pizza,78753,01/08/2021,90,"500 CANYON RIDGE DR
AUSTIN, TX 78753
(30.406841, -97.672884)",11518681,Routine Inspection
Dairy Queen,78723,06/23/2021,100,"5900 MANOR RD
AUSTIN, TX 78723
(30.30674, -97.67987)",2800852,Routine Inspection
Paul Martin's American Grill,78758,07/29/2020,91,"3120 PALM WAY
AUSTIN, TX 78758
(30.40257, -97.72129)",11606623,Routine Inspection
Live Oak Elementary,78729,11/30/2021,86,"8607 ANDERSON MILL RD
AUSTIN, TX 78729
(30.45489, -97.77068)",10538464,Routine Inspection
Tarka Indian Kitchen,78613,11/25/2020,85,"11066 PECAN PARK BLVD
AUSTIN, TX 78613
(30.47041, -97.80207)",11913958,Routine Inspection
7-Eleven Convenience Store #36265A,78759,11/09/2020,99,"11587 JOLLYVILLE RD
AUSTIN, TX 78759
(30.41634, -97.74861)",11348526,Routine Inspection
Contigo Catering LLC,78744,02/11/2021,97,"3709 PROMONTORY POINT DR
AUSTIN, TX 78744
(30.20928, -97.72701)",11426364,Routine Inspection
Flyrite Chicken,78702,03/29/2021,83,"2129 E 7TH ST
AUSTIN, TX 78702
(30.26137, -97.71835)",11450436,Routine Inspection
Driskill Hotel -1886 Cafe,78701,02/07/2023,90,"604 BRAZOS ST
AUSTIN, TX 78701
(30.26798, -97.74137)",10918296,Routine Inspection
MN-Beer: 30,78653,11/03/2021,97,"14001 SHADOWGLEN BLVD
MANOR, TX 78653
(30.3503, -97.54669)",11805376,Routine Inspection
Arby's,78729,01/05/2021,80,"13201 N FM 620 RD
AUSTIN, TX 78729
(30.46741, -97.79003)",11848079,Routine Inspection
Family Dollar #28201,78722,01/26/2023,96,"3851 AIRPORT BLVD
AUSTIN, TX 78722
(30.28966, -97.70636)",10393618,Routine Inspection
Sonic Drive - In #1570,78748,11/04/2021,96,"9916 BRODIE LN
AUSTIN, TX 78748
(30.18482, -97.8496)",12393048,Routine Inspection
Soto Restaurant,78613,11/08/2021,79,"11066 PECAN PARK BLVD
AUSTIN, TX 78613
(30.47041, -97.80207)",10835163,Routine Inspection
Maudie's Milagro,78746,10/13/2020,87,"3801 N CAPITAL OF TEXAS HWY
AUSTIN, TX 78746
(30.33645, -97.80536)",2801825,Routine Inspection
Sims Elementary,78721,10/08/2020,98,"1203 SPRINGDALE RD
AUSTIN, TX 78721
(30.27943, -97.68679)",2800259,Routine Inspection
Jimmy John's #2270,78749,07/15/2020,94,"4220 W WILLIAM CANNON DR
AUSTIN, TX 78749
(30.2219, -97.8381)",11422254,Routine Inspection
Chen Z Noodle House,78735,12/07/2021,83,"6705 W US 290 HWY
AUSTIN, TX 78735
(30.23395, -97.86665)",11830677,Routine Inspection
Sam's Club / Snack Bar #4720,78735,12/20/2022,94,"4970 W US 290 HWY
AUSTIN, TX 78735
(30.23369, -97.81912)",2803159,Routine Inspection
Austin Java,78745,09/06/2022,83,"5404 MANCHACA RD
AUSTIN, TX 78745
(30.21742, -97.79668)",12082916,Routine Inspection
Clark's Oyster Bar,78703,04/22/2021,92,"1200 W 6TH ST
AUSTIN, TX 78703
(30.27276, -97.75726)",10816203,Routine Inspection
Apple Mart,78741,01/19/2022,75,"2101 WICKERSHAM LN
AUSTIN, TX 78741
(30.2318, -97.72015)",11004160,Routine Inspection
East Austin College Prep,78723,12/06/2022,85,"5800 E MARTIN LUTHER KING JR BLVD
AUSTIN, TX 78723
(30.28638, -97.66733)",11753236,Routine Inspection
Driskill Hotel -1886 Cafe,78701,10/28/2020,92,"604 BRAZOS ST
AUSTIN, TX 78701
(30.26798, -97.74137)",10918296,Routine Inspection
"Watermark at Southpark Meadows, The",78748,07/14/2022,90,"9320 ALICE MAE LN
AUSTIN, TX 78748
(30.16636, -97.79466)",12186437,Routine Inspection
CVS/Pharmacy #6892,78705,08/01/2022,100,"2402 GUADALUPE ST
AUSTIN, TX 78705
(30.28787, -97.74158)",12395144,Routine Inspection
"LW - Goddard School, The",78738,11/22/2021,98,"301 MEDICAL PKWY
LAKEWAY, TX 78738
(30.33107, -97.96961)",11407604,Routine Inspection
Stop 71,78735,09/21/2022,79,"8314 W SH
AUSTIN, TX 78735",2803909,Routine Inspection
Black Sheep Lodge,78704,09/23/2020,91,"2108 S LAMAR BLVD
AUSTIN, TX 78704
(30.24812, -97.77108)",10251709,Routine Inspection
SV - Texadelphia,78745,06/24/2020,91,"5400 BRODIE LN
SUNSET VALLEY, TX 78745
(30.23036, -97.81987)",10849197,Routine Inspection
Nanami Sushi Bar,78748,12/09/2022,78,"9001 BRODIE LN
AUSTIN, TX 78748
(30.19406, -97.84255)",10346733,Routine Inspection
PF - Smoothie King,78660,06/16/2022,88,"18701 LIMESTONE COMMERCIAL DR
PFLUGERVILLE, TX 78660
(30.46692, -97.59648)",12186650,Routine Inspection
Serranos Cafe & Cantina,78748,09/16/2020,76,"9500 S IH
AUSTIN, TX 78748",10120187,Routine Inspection
SIP PHO,78705,10/07/2020,85,"512 W 29TH ST
AUSTIN, TX 78705
(30.29524, -97.74242)",12392456,Follow-Up Inspection
Subway #13723,78731,12/16/2022,98,"3710 CRAWFORD AVE
AUSTIN, TX 78731
(30.30798, -97.74939)",12394874,Routine Inspection
Fast Market #4568,78748,07/26/2021,84,"110 W SLAUGHTER LN
AUSTIN, TX 78748
(30.16718, -97.78789)",12393136,Routine Inspection
Michi Ramen 2,78752,05/17/2022,90,"6519 N LAMAR BLVD
AUSTIN, TX 78752
(30.33348, -97.7216)",10825112,Follow-Up Inspection
Hoffbrau,78701,04/21/2022,92,"613 W 6TH ST
AUSTIN, TX 78701
(30.26981, -97.7491)",2800453,Routine Inspection
OK Corral,78745,05/24/2022,97,"629 W BEN WHITE BLVD
AUSTIN, TX 78745
(30.22655, -97.77032)",10223151,Routine Inspection
Luby's/ Fuddruckers,78748,07/15/2020,83,"415 W SLAUGHTER LN
AUSTIN, TX 78748
(30.17058, -97.7977)",11047159,Routine Inspection
High 5,78757,01/27/2022,88,"2700 W ANDERSON LN
AUSTIN, TX 78757
(30.3581, -97.73512)",12039950,Routine Inspection
Kerbey Lane Cafe,78704,11/10/2020,92,"3003 S LAMAR BLVD
AUSTIN, TX 78704
(30.24178, -97.78379)",10700176,Routine Inspection
Twin Peaks,78745,06/09/2020,93,"701 E STASSNEY LN
AUSTIN, TX 78745
(30.2, -97.77)",10080943,Routine Inspection
RW-Finish Line Car Wash,78746,11/03/2022,99,"2900 BEE CAVES RD
ROLLINGWOOD, TX 78746
(30.27061, -97.79126)",12147956,Routine Inspection
Chili's Grill & Bar #1423,78748,03/31/2022,93,"9900 S IH
AUSTIN, TX 78748",10026046,Routine Inspection
Wal-Mart Superstore #3569,78753,07/18/2022,93,"12900 N IH
AUSTIN, TX 78753",2803704,Routine Inspection
Gold's Gym - Anderson Arbor,78729,07/17/2020,95,"13435 N US 183 HWY
AUSTIN, TX 78729
(30.45051, -97.78537)",10796050,Routine Inspection
"Concourse Project, The",78719,05/05/2022,99,"8509 BURLESON RD
AUSTIN, TX 78719
(30.18037, -97.68548)",12396228,Routine Inspection
AA Foodmart #2,78723,06/15/2022,86,"6649 MANOR RD
AUSTIN, TX 78723
(30.30978, -97.66753)",12186104,Routine Inspection
Colleen's Kitchen,78723,11/10/2021,88,"1911 ALDRICH ST
AUSTIN, TX 78723
(30.29855, -97.70478)",11837503,Routine Inspection
Ashley's Playhouse,78729,11/16/2021,97,"13343 N US 183 HWY
AUSTIN, TX 78729
(30.44848, -97.78263)",11078207,Routine Inspection
Phoebes Diner,78704,05/07/2021,83,"533 W OLTORF ST
AUSTIN, TX 78704
(30.24185, -97.75905)",11755008,Routine Inspection
PF - Highland Park Elementary School,78660,01/13/2023,96,"428 KINGSTON LACY BLVD
PFLUGERVILLE, TX 78660
(30.47685, -97.61508)",12392621,Routine Inspection
DeSano Pizzeria Napoletana,78701,12/30/2022,90,"301 LAVACA ST
AUSTIN, TX 78701
(30.26617, -97.74616)",12186516,Routine Inspection
7-Eleven Convenience Store #36591A,78745,05/15/2020,94,"201 W BEN WHITE BLVD
AUSTIN, TX 78745
(30.22253, -97.7648)",11390487,Routine Inspection
Fiesta Mart #25 (Seafood/Deli),78722,04/13/2021,87,"3909 N IH
AUSTIN, TX 78722",11377963,Routine Inspection
TLLT BBQ,78717,01/19/2022,89,"11301 LAKELINE BLVD
AUSTIN, TX 78717
(30.479897, -97.797927)",12185747,Routine Inspection
Austin Woman's Club,78701,06/02/2022,91,"708 SAN ANTONIO ST
AUSTIN, TX 78701
(30.27095, -97.74674)",2800377,Routine Inspection
LW - Cafe Lago,78734,07/27/2021,84,"1200 LAKEWAY DR
LAKEWAY, TX 78734
(30.36263, -97.98242)",10484226,Routine Inspection
Green Mesquite - South Park Meadows,78748,04/27/2020,75,"9900 S IH
AUSTIN, TX 78748",10433841,Routine Inspection
Bon Appetit - Ragsdale,78704,08/17/2022,99,"3001 S CONGRESS AVE
AUSTIN, TX 78704
(30.23233, -97.75858)",10054970,Routine Inspection
Cooper's Old Time Pit BBQ Austin,78701,01/11/2022,93,"217 CONGRESS AVE
AUSTIN, TX 78701
(30.26498, -97.74397)",11442278,Routine Inspection
Levy At Q2 Stadium/ South Main 104,78758,12/07/2021,100,"10414 MC KALLA PL
AUSTIN, TX 78758
(30.38617, -97.71859)",12394463,Routine Inspection
Taqueria Guadalajara,78753,07/08/2021,70,"9207 N LAMAR BLVD
AUSTIN, TX 78753
(30.36152, -97.69792)",10008754,Follow-Up Inspection
Taqueria Chapala #3,78735,06/17/2022,86,"6116 W US 290 HWY
AUSTIN, TX 78735
(30.2366, -97.85492)",12395568,Routine Inspection
LW - Merito Food Mart,78734,08/30/2022,98,"201 N FM 620 RD
LAKEWAY, TX 78734
(30.36703, -97.95057)",11289572,Routine Inspection
2 N 1 Salad Bar And Grill,78758,12/15/2022,97,"901 W BRAKER LN
AUSTIN, TX 78758
(30.38267, -97.68889)",12394814,Routine Inspection
Chick-Fil-A,78759,02/16/2023,94,"10901 RESEARCH BLVD
AUSTIN, TX 78759
(30.40105, -97.74538)",2801456,Routine Inspection
BC-Learn and Laugh Preschool,78738,07/07/2022,92,"11715 FM 2244 RD
BEE CAVE, TX 78738
(30.30917, -97.91852)",12129070,Routine Inspection
PF - Papa John's #1127,78660,12/20/2021,94,"900 E PECAN
PFLUGERVILLE, TX 78660
(30.43578, -97.61206)",12392335,Routine Inspection
Licha's Cantina,78702,06/10/2022,82,"1306 E 6TH ST
AUSTIN, TX 78702
(30.26386, -97.72889)",11097683,Routine Inspection
PF - Highland Park Elementary School,78660,09/09/2021,96,"428 KINGSTON LACY BLVD
PFLUGERVILLE, TX 78660
(30.47685, -97.61508)",12392621,Routine Inspection
Pappasito's Restaurant,78752,03/29/2021,93,"6513 N IH
AUSTIN, TX 78752",2800371,Routine Inspection
Thundercloud Subs,78746,06/22/2020,86,"3201 BEE CAVES RD
AUSTIN, TX 78746
(30.27377, -97.80053)",2800396,Routine Inspection
Brooklyn Pie Co.,78748,03/01/2022,84,"9500 S IH
AUSTIN, TX 78748",10997742,Routine Inspection
Eurest,78759,08/30/2021,100,"11500 N MOPAC EXPY
AUSTIN, TX 78759
(30.40535, -97.7259)",11731662,Routine Inspection
Amaya's Taco Village,78751,05/25/2022,70,"5804 N IH
SVRD SB AUSTIN, TX 78751",10581694,Routine Inspection
Cafe Hornitas Tex Mex,78705,07/25/2022,92,"3704 N IH
SVRD SB AUSTIN, TX 78705",2803272,Routine Inspection
Dollar General Store #3273,78745,07/08/2021,100,"709 W STASSNEY LN
AUSTIN, TX 78745
(30.20819, -97.78302)",10046160,Routine Inspection
PF - Krab Kingz,78660,06/10/2021,94,"1202 FM
PFLUGERVILLE, TX 78660
(30.44719, -97.60711)",12392301,Routine Inspection
Little Caesars,78753,09/30/2020,97,"1030 NORWOOD PARK BLVD
AUSTIN, TX 78753
(30.33858, -97.6926)",10134174,Routine Inspection
Fairmont Austin - Gold Lounge (Level 35),78701,07/21/2020,100,"101 RED RIVER ST
AUSTIN, TX 78701
(30.26193, -97.73885)",11853714,Routine Inspection
First Watch Restaurants #351,78757,10/19/2020,93,"2525 W ANDERSON LN
AUSTIN, TX 78757
(30.35693, -97.73259)",11688224,Routine Inspection
Maha Market,78745,01/19/2023,100,"5212 MANCHACA RD
AUSTIN, TX 78745
(30.21982, -97.7946)",12393632,Routine Inspection
Accent Food Svcs @TX Assc of School Boards,78727,08/16/2021,97,"12007 RESEARCH BLVD
NB AUSTIN, TX 78727
(30.42579, -97.75103)",12185644,Routine Inspection
Shore Raw Bar & Grill,78736,05/09/2022,95,"8665 W SH
AUSTIN, TX 78736",12111145,Routine Inspection
Bruegger's Bagels,78746,01/31/2022,85,"3267 BEE CAVES RD
AUSTIN, TX 78746
(30.274413, -97.800458)",10720202,Routine Inspection
SV - Longhorn Steakhouse #5423,78745,01/06/2023,92,"4809 W US 290 HWY
SUNSET VALLEY, TX 78745
(30.23403, -97.81235)",10752973,Routine Inspection
Wal-Mart Supercenter #2133 -Bakery,78749,06/28/2022,98,"5017 W US 290 HWY
EB AUSTIN, TX 78749
(30.23327, -97.82194)",10193642,Routine Inspection
Taco Deli,78758,04/01/2020,96,"12001 BURNET RD
AUSTIN, TX 78758
(30.40778, -97.71391)",2802421,Routine Inspection
Wheatsville Food Co-Op Deli,78705,06/02/2022,87,"3101 GUADALUPE ST
AUSTIN, TX 78705
(30.29791, -97.74122)",2800573,Routine Inspection
Waterloo Ice House,78731,04/17/2020,91,"6203 N CAPITAL OF TEXAS HWY
AUSTIN, TX 78731
(30.36032, -97.79016)",2802115,Routine Inspection
Wendy's W-102/1682,78731,01/07/2022,93,"3596 FAR WEST BLVD
AUSTIN, TX 78731
(30.35423, -97.75474)",11119789,Routine Inspection
Paleface Grocery,78669,01/03/2022,95,"23526 W SH
SPICEWOOD, TX 78669",2801077,Routine Inspection
Walgreens #10615,78723,07/15/2022,98,"5345 N IH
AUSTIN, TX 78723",10099385,Routine Inspection
Peace Of Mind Children's Center,78756,08/16/2021,100,"5615 BURNET RD
AUSTIN, TX 78756
(30.33198, -97.74005)",12393199,Routine Inspection
K Food Austin,78613,01/24/2023,74,"11200 LAKELINE MALL DR
AUSTIN, TX 78613
(30.47181, -97.80337)",12396918,Routine Inspection
MN - Carnicerias Lafogata,78653,06/02/2021,75,"216 E PARSONS ST MANOR
TX 78653
(30.34085, -97.55638)",11051473,Routine Inspection
OOB SV - IL CANE ROSSO/ COWTIPPING CREAMERY,78745,05/20/2021,81,"4715 S LAMAR BLVD
SUNSET VALLEY, TX 78745
(30.23254, -97.81085)",11494251,Routine Inspection
Quinta Caporales Meat Market- Deli,78745,09/16/2020,82,"730 W STASSNEY LN
AUSTIN, TX 78745
(30.20902, -97.78285)",10243063,Routine Inspection
Koriente Restaurant,78701,06/14/2021,87,"621 E 7TH ST
AUSTIN, TX 78701
(30.26719, -97.73592)",2803147,Routine Inspection
Panera Bread,78749,04/03/2020,98,"4625 W WILLIAM CANNON DR
AUSTIN, TX 78749
(30.22371, -97.84373)",10124781,Routine Inspection
Papa John's #928,78726,02/04/2021,83,"11521 N FM 620 RD
AUSTIN, TX 78726
(30.4547, -97.82594)",2802805,Routine Inspection
Subway #44843,78747,12/23/2020,90,"11215 S IH
AUSTIN, TX 78747",10189370,Routine Inspection
Mainspring Schools,78704,09/22/2020,98,"1100 W LIVE OAK ST
AUSTIN, TX 78704
(30.24688, -97.76495)",2800732,Routine Inspection
7-Eleven Convenience Store #24008,78751,05/12/2022,84,"5101 N LAMAR BLVD
AUSTIN, TX 78751
(30.31879, -97.7305)",10155839,Routine Inspection
Applebee's,78744,02/11/2022,87,"6315 S IH
SVRD NB AUSTIN, TX 78744",10870122,Routine Inspection
Kung Fu Saloon,78758,09/15/2022,81,"11501 ROCK ROSE AVE
AUSTIN, TX 78758
(30.40141, -97.72264)",11480551,Routine Inspection
El Pollo Rico # 11,78748,12/17/2020,93,"609 W SLAUGHTER LN
AUSTIN, TX 78748
(30.17305, -97.80034)",12109787,Routine Inspection
Starbucks Coffee #6368,78701,11/12/2021,99,"501 W 15TH ST
AUSTIN, TX 78701
(30.27824, -97.74432)",2801814,Routine Inspection
Seton Medical Center Austin - Doctor's Lounge,78705,04/18/2022,100,"1201 W 38TH ST
AUSTIN, TX 78705
(30.30595, -97.74478)",11546501,Routine Inspection
Yummi Joy,78701,06/27/2022,100,"409 W 2ND ST
AUSTIN, TX 78701
(30.26536, -97.74796)",11756190,Routine Inspection
Riverside Nursing and Rehabilitation Center,78741,03/11/2022,89,"6801 E RIVERSIDE DR
AUSTIN, TX 78741
(30.22254, -97.6991)",12175762,Routine Inspection
Vic's Bar-B-Que,78741,07/20/2020,97,"3502 BURLESON RD
AUSTIN, TX 78741
(30.21643, -97.73469)",2801051,Routine Inspection
Hyatt Place Austin Airport,78719,07/20/2020,87,"9532 SPIRIT OF AUSTIN LN
AUSTIN, TX 78719
(30.210914, -97.666305)",11933212,Routine Inspection
